WC_TA,RE_TA,EBIT_TA,MVE_BVTD,S_TA,Industry,Rating
0.082,0.348,0.046,3.817,0.633,12,'AAA'
0.268,0.318,0.062,2.913,0.32,11,'AA'
0.367,0.334,0.067,1.593,0.385,7,'A'
0.345,0.517,0.081,2.654,0.317,11,'AAA'
0.365,0.645,0.085,5.469,0.304,4,'AAA'
-0.083,-0.449,0.023,0.08,0.072,10,'CCC'
0.305,0.519,0.073,4.702,0.609,4,'AAA'
0.53,0.696,0.114,3.029,0.243,3,'AAA'
-0.096,-0.256,0.027,0.806,0.404,10,'B'
0.004,-0.034,0.04,0.204,0.099,3,'BB'
0.033,0.212,0.035,2.412,0.337,10,'A'
0.417,0.752,0.092,5.569,0.502,11,'AAA'
0.106,0.224,0.046,2.039,0.391,11,'A'
-2.231,-2.32,-0.366,0.26,0.088,3,'CCC'
-0.008,-0.123,0.03,0.158,0.078,8,'CCC'
0.21,0.209,0.066,0.765,0.175,6,'BBB'
0.286,0.513,0.072,2.774,0.328,9,'AA'
0.032,0.093,0.041,0.528,0.235,5,'BB'
0.206,0.412,0.057,3.279,0.347,11,'AA'
0.16,0.303,0.049,1.735,0.328,2,'A'
0.059,0.086,0.044,0.565,0.183,9,'BB'
0.396,0.423,0.087,1.52,0.27,7,'A'
0.066,0.283,0.047,1.908,0.368,2,'A'
-0.065,-0.03,0.012,3.442,0.36,12,'AA'
0.202,0.382,0.06,2.162,0.366,2,'AA'
0.362,0.306,0.079,0.292,0.107,4,'BB'
0.324,0.243,0.074,0.525,0.115,3,'BBB'
0.31,0.401,0.071,0.909,0.125,10,'BBB'
0.49,0.729,0.103,1.867,0.127,7,'AA'
0.008,0.105,0.032,0.772,0.179,4,'BBB'
0.126,0.009,0.046,0.228,0.094,12,'BB'
-0.15,-0.374,-0.001,0.525,0.199,7,'BB'
0.465,0.77,0.107,11.08,0.918,11,'AAA'
0.022,0.05,0.038,0.545,0.19,9,'B'
0.272,0.316,0.078,2.162,0.354,3,'AA'
-0.148,0.114,-0.003,2.02,0.4,9,'A'
-0.314,-1.972,-0.076,0.043,0.085,1,'CCC'
0.035,0.127,0.044,0.802,0.197,7,'BBB'
0.193,0.396,0.053,2.617,0.359,9,'AA'
0.084,0.262,0.033,4.087,0.522,4,'AAA'
0.345,0.744,0.079,5.08,0.477,5,'AAA'
0.152,0.308,0.052,3.102,0.512,8,'AA'
0.135,0.295,0.062,1.454,0.433,4,'BBB'
0.14,0.242,0.052,1.257,0.302,3,'A'
0.149,0.242,0.055,0.924,0.178,1,'BBB'
0.22,0.589,0.074,1.931,0.329,5,'AA'
0.124,0.521,0.058,2.5,0.448,3,'AA'
0.23,0.592,0.053,5.161,0.925,5,'AAA'
0.103,0.256,0.049,2.729,0.303,6,'AA'
-0.009,0.062,0.022,1.34,0.294,10,'BB'
0.487,0.846,0.12,15.061,0.769,10,'AAA'
-0.016,-0.236,0.032,0.247,0.079,6,'B'
0.014,0.156,0.027,2.743,0.537,9,'AA'
0.005,0.151,0.029,1.139,0.266,11,'BBB'
-0.009,0.051,0.027,0.963,0.284,3,'BBB'
0.301,0.459,0.076,1.978,0.303,9,'A'
-0.009,0.027,0.035,0.416,0.133,5,'BB'
0.145,0.297,0.053,1.321,0.294,10,'BBB'
-0.009,-0.045,0.029,0.353,0.137,8,'BB'
-0.017,-0.191,0.022,0.179,0.101,5,'CCC'
0.181,0.236,0.059,0.837,0.191,5,'BB'
0.184,0.207,0.056,1.475,0.182,2,'BBB'
0.087,0.362,0.046,4.737,0.557,6,'AAA'
0.164,0.366,0.059,2.318,0.375,8,'A'
0.347,0.514,0.081,4.841,0.519,4,'AAA'
0.203,0.408,0.042,1.798,0.425,2,'A'
-0.004,0.022,0.031,0.441,0.142,9,'BB'
-0.046,-0.164,0.027,0.218,0.103,1,'B'
0.098,0.34,0.052,2.606,0.578,1,'A'
0.085,0.079,0.05,0.285,0.088,12,'B'
0.065,0.086,0.045,1.357,0.22,6,'BBB'
0.078,0.167,0.05,1.229,0.301,5,'BBB'
0.202,0.243,0.062,1.212,0.287,12,'BBB'
0.231,0.274,0.063,1.736,0.292,8,'A'
0.236,0.378,0.072,1.793,0.211,4,'A'
0.256,0.453,0.066,2.279,0.314,8,'A'
0.065,0.096,0.052,0.482,0.129,7,'BB'
0.382,0.638,0.073,5.137,0.702,12,'AAA'
0.222,0.53,0.059,5.021,0.741,2,'AAA'
0.392,0.63,0.085,3.907,0.424,4,'AAA'
0.281,0.46,0.072,4.194,0.517,3,'AAA'
0.145,0.431,0.057,1.921,0.207,11,'A'
0.502,0.901,0.117,12.926,0.918,5,'AAA'
0.341,0.814,0.071,22.378,1.358,5,'AAA'
0.142,0.235,0.05,1.849,0.355,7,'A'
-0.09,-0.887,0.016,0.333,0.146,1,'CCC'
0.064,0.189,0.045,1.636,0.44,10,'BBB'
0.254,0.226,0.064,0.779,0.254,5,'BB'
0.051,0.048,0.049,0.894,0.156,7,'BBB'
0.354,0.767,0.083,12.538,0.892,10,'AAA'
0.305,0.513,0.073,2.962,0.48,7,'AA'
0.337,0.618,0.076,6.741,0.654,7,'AAA'
0.314,0.275,0.076,0.625,0.187,9,'BB'
0.344,0.588,0.078,8.463,0.589,7,'AAA'
0.254,0.308,0.062,0.765,0.109,4,'BBB'
0.1,0.094,0.047,0.56,0.145,4,'BB'
0.045,0.332,0.048,3.146,0.547,2,'AA'
0.59,0.82,0.116,5.383,0.506,6,'AAA'
0.236,0.526,0.063,4.232,0.586,10,'AAA'
0.299,0.176,0.07,0.512,0.183,9,'BB'
0.059,0.23,0.037,2.798,0.834,2,'AA'
0.084,0.464,0.059,5.251,0.279,3,'AAA'
0.336,0.266,0.08,0.366,0.087,7,'BBB'
-0.104,-0.038,0.011,0.82,0.228,3,'BB'
0.418,0.575,0.087,2.157,0.299,4,'AA'
0.109,0.118,0.055,0.577,0.185,6,'BB'
0.281,0.209,0.072,0.654,0.132,12,'BB'
0.293,0.438,0.067,1.634,0.332,3,'A'
0.012,-0.15,0.044,0.208,0.106,10,'B'
0.17,0.435,0.059,2.633,0.414,3,'AA'
0.06,0.246,0.05,1.417,0.226,10,'A'
0.319,0.418,0.081,1.286,0.335,11,'A'
-0.071,-0.571,-0.001,0.313,0.084,5,'CCC'
0.282,0.48,0.071,3.693,0.633,9,'AAA'
0.216,0.401,0.056,3.813,0.607,4,'AAA'
0.241,0.438,0.061,2.595,0.594,7,'AA'
0.066,0.041,0.046,0.324,0.089,7,'BB'
-0.015,0.083,0.026,1.759,0.326,3,'BBB'
-0.059,-0.126,0.004,0.292,0.149,11,'B'
0.045,0.204,0.048,0.727,0.172,7,'BB'
0.36,0.401,0.092,1.464,0.218,11,'A'
0.031,0.331,0.05,3.057,0.577,2,'AA'
-0.01,0.006,0.033,0.383,0.201,4,'B'
0.155,0.168,0.055,0.759,0.125,1,'BB'
0.039,0.267,0.043,2.392,0.511,7,'AA'
0.35,0.394,0.083,1.347,0.249,9,'BBB'
-0.002,0.067,0.031,0.64,0.195,11,'BB'
0.291,0.532,0.064,4.282,0.405,6,'AAA'
0.07,0.243,0.053,0.842,0.227,4,'BBB'
-0.07,-0.188,0.017,0.287,0.14,7,'B'
0.217,0.278,0.054,2.062,0.356,7,'A'
0.174,0.303,0.064,1.201,0.254,5,'BBB'
0.004,0.131,0.033,0.578,0.235,5,'BB'
0.079,0.261,0.045,2.312,0.46,3,'AA'
0.235,0.384,0.062,2.618,0.319,3,'AA'
-0.011,0.053,0.027,0.981,0.259,2,'BB'
0.345,0.611,0.075,4.806,0.494,2,'AAA'
0.24,0.341,0.062,1.557,0.412,7,'A'
0.027,0.068,0.04,0.585,0.138,5,'BB'
-0.008,-0.145,0.029,0.288,0.157,12,'B'
0.2,0.192,0.058,0.584,0.16,5,'BB'
0.548,0.981,0.094,24.344,1.778,5,'AAA'
-0.529,-1.857,-0.101,0.155,0.107,8,'CCC'
0.008,-0.059,0.046,0.363,0.171,7,'B'
-0.023,-0.008,0.037,0.494,0.317,12,'BB'
0.256,0.36,0.069,1.181,0.255,6,'BBB'
0.011,-0.017,0.032,0.456,0.163,1,'B'
0.189,0.148,0.066,0.405,0.11,8,'BB'
0.141,0.501,0.058,5.837,0.783,3,'AAA'
0.196,0.374,0.057,2.448,0.386,2,'AA'
0.006,0.084,0.033,0.791,0.213,8,'BBB'
-0.04,-0.271,0.034,0.367,0.093,10,'B'
0.008,0.049,0.037,0.479,0.193,3,'BB'
0.311,0.516,0.071,2.435,0.312,3,'AA'
0.117,0.266,0.053,1.167,0.281,6,'BBB'
0.115,0.23,0.05,1.966,0.271,8,'A'
0.107,0.262,0.056,3.101,0.388,11,'AA'
0.356,0.638,0.079,9.42,1.028,11,'AAA'
0.003,0.186,0.05,1.816,0.475,5,'BBB'
-0.027,-0.007,0.021,0.601,0.105,5,'BB'
0.317,0.501,0.07,3.955,0.298,8,'AAA'
0.245,0.362,0.067,1.216,0.327,3,'BBB'
0.219,0.269,0.066,1.052,0.267,3,'A'
0.263,0.433,0.061,1.98,0.394,9,'A'
0.167,0.195,0.061,0.832,0.138,11,'BBB'
0.111,0.181,0.043,1.15,0.283,6,'A'
0.172,0.238,0.056,0.808,0.259,9,'BBB'
-0.572,-1.913,-0.106,0.045,0.059,8,'CCC'
0.313,0.335,0.084,0.743,0.16,7,'BBB'
0.23,0.056,0.076,0.098,0.074,1,'BB'
0.208,0.268,0.065,0.852,0.295,6,'BBB'
0.287,0.505,0.071,3.193,0.445,2,'AA'
-0.012,-0.05,0.028,0.421,0.146,4,'B'
0.256,0.453,0.064,3.8,0.49,3,'AAA'
0.05,0.13,0.051,0.465,0.203,10,'B'
0.307,0.409,0.075,1.464,0.321,8,'A'
-0.14,-0.475,-0.002,0.413,0.134,9,'B'
0.155,0.206,0.053,1.003,0.262,5,'BBB'
-0.026,-0.054,0.035,0.376,0.133,7,'BB'
0.038,0.011,0.056,0.779,0.408,2,'BBB'
0.037,-0.043,0.037,0.178,0.075,2,'BB'
0.215,0.297,0.065,1.139,0.27,9,'BB'
-0.002,0.084,0.034,0.907,0.29,6,'BB'
0.038,0.21,0.04,1.667,0.318,9,'BBB'
0.137,0.341,0.052,2.143,0.275,11,'A'
0.014,0.011,0.037,0.352,0.158,6,'B'
0.11,0.199,0.051,1.816,0.293,9,'A'
0.092,0.229,0.046,1.736,0.326,3,'A'
0.119,-0.025,0.055,0.157,0.073,9,'B'
0.317,0.529,0.08,1.781,0.309,3,'AA'
-0.017,0.393,0.029,10.851,0.848,1,'AAA'
-0.018,-0.38,0.025,0.142,0.089,3,'B'
0.407,0.342,0.108,0.718,0.119,7,'BBB'
-0.039,-0.268,0.002,0.416,0.206,11,'B'
0.389,0.511,0.086,2.593,0.344,7,'AA'
0.226,0.399,0.059,2.768,0.322,4,'AA'
0.384,0.629,0.07,4.666,0.451,7,'AAA'
0.375,0.731,0.092,8.91,0.677,8,'AAA'
0.211,0.229,0.067,0.971,0.187,12,'A'
0.117,0.227,0.053,1.155,0.303,12,'BBB'
-0.008,-0.122,0.037,0.204,0.116,4,'B'
0.03,0.132,0.037,0.882,0.257,4,'BB'
-0.014,-0.282,0.028,0.241,0.078,1,'B'
0.274,0.445,0.069,2.676,0.382,2,'AA'
0.019,0.26,0.042,3.331,0.453,7,'AA'
0.19,0.366,0.052,1.94,0.306,12,'A'
0.05,0.192,0.034,1.854,0.385,10,'BBB'
-0.427,-1.914,-0.025,0.038,0.067,5,'CCC'
-0.065,0.182,0.024,3.054,0.728,12,'A'
0.084,0.124,0.059,0.602,0.175,12,'BBB'
0.169,0.254,0.063,0.703,0.203,5,'BBB'
0.334,0.385,0.07,0.61,0.169,1,'BB'
0.094,0.315,0.048,2.084,0.384,8,'A'
-0.02,0.074,0.027,0.452,0.177,7,'BB'
-0.078,-0.2,0.005,0.57,0.324,9,'BB'
0.02,0.064,0.035,1.029,0.308,1,'BBB'
0.013,0.189,0.044,1.785,0.45,4,'A'
0.125,0.28,0.056,1.266,0.364,11,'BBB'
-0.034,-0.008,0.03,0.525,0.311,3,'BB'
-0.02,0.034,0.031,0.679,0.199,11,'BBB'
0.224,0.416,0.057,2.106,0.28,9,'A'
-0.003,-0.027,0.038,0.453,0.234,1,'B'
0.3,0.307,0.064,1.709,0.311,7,'A'
0.302,0.58,0.069,5.481,0.496,5,'AAA'
-0.047,0.046,0.025,1.494,0.289,10,'BBB'
0.233,0.096,0.072,0.218,0.099,5,'B'
0.466,0.508,0.09,2.748,0.33,6,'AA'
0.34,0.452,0.073,2.639,0.395,12,'AA'
0.266,0.389,0.065,1.089,0.18,3,'BBB'
0.067,0.194,0.047,1.797,0.41,5,'A'
0.107,0.252,0.049,1.279,0.317,10,'BBB'
0.111,0.28,0.054,2.546,0.425,2,'A'
0.163,0.51,0.052,3.518,0.537,6,'AAA'
0.198,0.668,0.067,7.097,0.929,2,'AAA'
0.488,0.815,0.107,14.876,1.068,4,'AAA'
0.058,0.124,0.04,0.482,0.133,7,'BB'
0.042,0.03,0.044,0.455,0.122,4,'B'
0.219,0.401,0.068,1.736,0.307,7,'A'
0.366,0.523,0.071,2.807,0.319,2,'AA'
0.39,0.626,0.081,3.687,0.48,4,'AAA'
0.03,0.018,0.04,0.708,0.219,6,'BBB'
0.191,0.512,0.065,4.788,0.624,10,'AAA'
0.553,0.433,0.099,0.957,0.295,4,'BBB'
0.463,0.711,0.084,13.845,1.095,4,'AAA'
0.027,0.012,0.032,0.533,0.143,11,'BB'
0.217,0.315,0.065,1.167,0.211,1,'BBB'
0.151,0.336,0.057,2.026,0.31,1,'A'
0.169,0.328,0.054,1.809,0.278,8,'A'
0.357,0.755,0.089,7.669,0.506,6,'AAA'
-0.191,-0.484,-0.021,0.854,0.179,6,'BB'
0.158,0.467,0.06,6.147,0.417,6,'AAA'
0.097,0.319,0.048,3.229,0.475,12,'AA'
0.44,0.794,0.096,14.842,1.137,10,'AAA'
0.303,0.396,0.077,1.524,0.291,1,'A'
0.307,0.573,0.074,3.326,0.48,4,'AAA'
0.3,0.182,0.067,0.138,0.072,2,'B'
0.127,0.171,0.05,0.252,0.083,5,'BB'
0.4,0.218,0.059,0.588,0.157,2,'BBB'
0.417,0.681,0.078,5.86,0.6,1,'AAA'
0.202,0.01,0.059,0.416,0.158,2,'B'
-0.032,-0.063,0.028,0.517,0.23,10,'BB'
-0.036,-0.199,0.03,0.191,0.099,5,'B'
-0.013,-0.102,0.023,0.483,0.186,9,'B'
0.262,0.42,0.071,2.219,0.305,3,'AA'
-0.002,0.13,0.026,0.721,0.203,8,'BB'
-0.004,0.2,0.025,4.238,0.499,12,'AAA'
0.267,0.443,0.063,2.905,0.292,5,'AA'
0.064,0.292,0.048,1.973,0.342,1,'A'
0.086,0.181,0.054,0.983,0.272,11,'BBB'
-0.06,-0.335,0.021,0.145,0.098,9,'CCC'
0.282,0.289,0.09,0.56,0.117,8,'BB'
0.008,0.048,-0.01,0.325,0.109,1,'B'
0.001,-0.3,0.032,0.287,0.09,11,'B'
0.043,-0.057,0.037,0.153,0.104,8,'B'
0.169,0.413,0.062,2.418,0.391,6,'AA'
0.108,0.228,0.053,1.668,0.303,4,'BBB'
0.033,0.127,0.039,1.372,0.3,3,'BBB'
0.192,0.104,0.057,0.257,0.084,4,'BB'
0.098,0.163,0.049,0.953,0.205,12,'BBB'
-0.039,-0.079,0.024,0.547,0.168,7,'BB'
0.293,0.416,0.066,3.697,0.442,4,'AA'
-0.007,-0.004,0.033,0.401,0.103,3,'BB'
0.058,-0.23,0.049,0.119,0.081,2,'CCC'
0.011,0.192,0.03,2.215,0.432,5,'A'
0.099,0.176,0.052,0.666,0.176,7,'BB'
0.278,0.354,0.07,1.667,0.284,8,'A'
0.139,0.16,0.048,0.595,0.185,1,'BB'
0.188,0.101,0.055,0.29,0.106,11,'BB'
0.298,0.56,0.072,4.964,0.646,5,'AAA'
0.19,0.361,0.066,1.855,0.309,6,'AA'
0.078,0.209,0.04,1.09,0.337,5,'BBB'
0.205,0.247,0.059,1.006,0.278,7,'BBB'
0.007,-0.133,0.031,0.278,0.11,11,'B'
0.024,-0.282,0.03,0.111,0.114,2,'B'
0.157,0.557,0.068,1.457,0.272,10,'A'
-0.004,-0.039,0.029,0.298,0.126,8,'BB'
0.147,0.348,0.05,1.746,0.333,7,'A'
0.098,0.089,0.051,0.416,0.092,11,'BB'
-0.043,-0.816,0.035,0.047,0.041,4,'CCC'
0.09,0.213,0.045,1.244,0.248,5,'BBB'
0.055,0.298,0.052,1.29,0.306,11,'A'
0.19,0.309,0.06,1.262,0.293,10,'BBB'
0.161,0.338,0.057,1.954,0.266,8,'A'
-0.096,-0.525,0.007,0.279,0.101,7,'B'
0.138,0.312,0.051,3.563,0.612,8,'AA'
-0.042,-0.016,0.014,0.825,0.253,10,'B'
0.016,0.101,0.034,0.73,0.266,12,'BB'
0.181,0.133,0.058,0.5,0.135,2,'B'
0.436,0.644,0.089,4.146,0.384,4,'AAA'
-0.098,-0.11,0.018,0.451,0.169,8,'B'
0.017,-0.003,0.035,0.457,0.146,9,'B'
0.703,1.121,0.144,15.476,0.579,4,'AAA'
0.12,0.04,0.044,0.489,0.136,7,'BB'
0.011,-0.033,0.026,0.354,0.134,8,'BB'
-0.006,0.105,0.033,0.882,0.286,9,'BB'
0.005,0.045,0.034,1.001,0.154,8,'BBB'
0.267,0.3,0.071,1.116,0.226,6,'BBB'
0.497,0.709,0.092,6.151,0.523,3,'AAA'
-0.023,0.067,0.024,1.351,0.231,7,'BBB'
0.019,0.167,0.039,1.192,0.194,1,'BB'
0.241,0.385,0.06,2.714,0.408,3,'AA'
0.537,0.665,0.108,2.965,0.331,9,'AAA'
0.338,0.263,0.056,1.469,0.308,5,'BBB'
-0.014,-0.264,0.026,0.219,0.127,11,'B'
-0.011,-0.266,0.034,0.225,0.098,1,'B'
0.125,0.174,0.053,0.725,0.153,5,'BB'
0.171,0.25,0.06,1.519,0.315,7,'BBB'
0.24,0.306,0.06,0.976,0.263,3,'BBB'
0.088,0.129,0.048,0.617,0.128,3,'BBB'
-0.064,0.125,0.024,1.248,0.27,9,'BB'
0.257,0.338,0.064,1.122,0.186,6,'BBB'
0.024,0.11,0.044,0.59,0.092,4,'BB'
0.123,0.159,0.054,0.782,0.199,4,'B'
0.226,0.331,0.064,2.111,0.295,1,'A'
0.061,-0.173,0.04,0.108,0.099,8,'BB'
0.122,0.299,0.053,1.687,0.326,11,'A'
0.013,0.069,0.04,0.404,0.148,8,'BB'
0.45,0.403,0.089,0.415,0.085,12,'BB'
0.081,0.198,0.051,1.436,0.207,1,'BBB'
0.075,0.229,0.044,2.469,0.392,3,'AA'
-0.045,0.132,0.031,1.858,0.419,1,'A'
0.034,0.176,0.044,1.197,0.237,11,'BBB'
-0.12,-0.292,0.01,0.418,0.191,4,'BB'
0.009,-0.069,0.036,0.548,0.161,12,'BB'
0.017,0.092,0.033,0.821,0.263,10,'BB'
0.41,0.683,0.085,4.522,0.593,4,'AAA'
0.143,0.333,0.056,2.566,0.412,8,'AA'
-0.06,0.062,0.025,0.955,0.147,2,'BBB'
0.22,0.333,0.058,0.956,0.205,6,'BBB'
-0.027,0.106,0.032,1.777,0.295,5,'BBB'
0.134,0.299,0.054,1.13,0.24,6,'A'
-0.036,0.061,0.009,3.827,0.842,8,'AA'
0.022,-0.266,0.03,0.218,0.082,10,'CCC'
0.29,0.413,0.062,2.06,0.47,3,'AA'
0.191,0.373,0.058,2.17,0.317,7,'AA'
0.069,0.325,0.042,2.553,0.673,12,'AA'
0.22,0.387,0.057,2.563,0.406,3,'AA'
0.065,0.223,0.042,1.879,0.327,7,'A'
0.143,0.335,0.054,2.132,0.529,5,'A'
0.483,0.587,0.1,2.714,0.428,1,'AA'
0.024,0.005,0.042,0.394,0.179,4,'BB'
-0.024,-0.12,0.026,0.242,0.169,3,'B'
0.081,0.24,0.045,1.541,0.185,2,'BBB'
0.098,0.218,0.051,1.175,0.233,12,'A'
0.045,0.017,0.048,0.336,0.102,2,'BB'
0.275,0.444,0.079,2.901,0.43,7,'AAA'
0.478,0.624,0.087,3.022,0.344,10,'AA'
0.017,0.198,0.039,1.397,0.414,11,'A'
0.06,0.168,0.037,0.897,0.321,5,'BBB'
0.045,0.129,0.047,1.045,0.152,2,'BB'
0.091,0.266,0.052,2.14,0.184,10,'A'
-0.028,-0.088,0.012,0.554,0.14,4,'BB'
-0.042,0.077,0.03,1.663,0.295,3,'A'
0.122,0.226,0.052,1.274,0.29,9,'BBB'
-0.232,0.005,-0.003,1.059,0.098,8,'BB'
0.26,0.22,0.067,0.712,0.286,2,'BB'
0.016,0.164,0.034,1.498,0.43,5,'BBB'
-0.001,0.024,0.028,0.638,0.152,1,'BB'
0.181,0.285,0.068,1.45,0.252,2,'A'
0.073,0.383,0.049,3.563,0.616,9,'AAA'
-0.148,-0.554,0.006,0.21,0.103,12,'B'
0.164,0.286,0.061,1.392,0.236,3,'A'
0.263,0.455,0.061,2.399,0.431,6,'AA'
0.197,0.233,0.059,0.846,0.165,7,'BBB'
-0.006,-0.042,0.041,0.267,0.159,8,'BB'
0.397,0.623,0.087,4.665,0.372,7,'AAA'
0.497,0.668,0.102,3.915,0.566,8,'AAA'
0.085,0.307,0.056,1.989,0.478,11,'A'
0.027,0.163,0.036,0.972,0.202,10,'BB'
0.056,0.018,0.052,0.309,0.103,12,'BB'
